DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,17:38:36,41.6,483,5818.10042,-13.30000019,37.20000076
23/04/2015,17:38:41,41.5,482,5838.72749,-13.30000019,41.29999924
23/04/2015,17:38:58,41.4,477,5908.081221,-13.10000038,41.79999924
23/04/2015,17:39:03,41.4,476,5931.982745,-14.10000038,42.70000076
23/04/2015,17:39:20,41.3,471,6004.997608,-14.30000019,43.20000076
23/04/2015,17:39:25,41.2,469,6034.121754,-15.69999981,44.29999924
23/04/2015,17:39:43,41.1,464,6115.329012,-15.60000038,44.79999924
23/04/2015,17:39:49,41,463,6133.666922,-15.89999962,45.59999847
23/04/2015,17:40:05,40.9,459,6189.222289,-16,45.79999924
23/04/2015,17:40:11,40.9,458,6214.200384,-17.29999924,45.40000153
23/04/2015,17:40:47,40.6,450,6343.037756,-17.5,45.40000153
23/04/2015,17:40:52,40.6,448,6365.551096,-16.29999924,46.90000153
23/04/2015,17:41:09,40.5,443,6443.174032,-16.29999924,47
23/04/2015,17:41:15,40.4,442,6466.267725,-17.5,46.90000153
23/04/2015,17:41:33,40.3,437,6543.299352,-17.60000038,46.79999924
23/04/2015,17:41:53,40.1,433,6616.200857,-18.39999962,46.5
23/04/2015,17:42:09,40,429,6676.690847,-18.89999962,45.90000153
23/04/2015,17:42:15,40,428,6698.060665,-18.70000076,45.70000076
23/04/2015,17:42:31,39.9,424,6760.293171,-19,44.79999924
23/04/2015,17:42:42,39.8,422,6797.235688,-18.79999924,44.79999924
23/04/2015,17:43:06,39.7,417,6886.602721,-20.10000038,42.90000153
23/04/2015,17:43:17,39.6,414,6929.5693,-20.5,42.59999847
23/04/2015,17:43:35,39.5,410,6996.922635,-19.89999962,42.59999847
23/04/2015,17:43:40,39.4,409,7018.911215,-20.60000038,40.40000153
23/04/2015,17:43:57,39.3,405,7080.844134,-19.60000038,40.20000076
23/04/2015,17:44:04,39.3,404,7112.150838,-20.79999924,38.09999847
23/04/2015,17:44:20,39.2,400,7170.515295,-23.10000038,36.20000076
23/04/2015,17:44:28,39.1,399,7195.951746,-22.5,36.40000153
23/04/2015,17:44:44,39,396,7249.895682,-23.60000038,34.90000153
23/04/2015,17:44:52,38.9,395,7275.386538,-23.70000076,34.90000153
23/04/2015,17:45:30,38.7,388,7400.893728,-23.79999924,33.5
23/04/2015,17:45:39,38.7,386,7426.65019,-23.5,33.5
23/04/2015,17:45:55,38.6,383,7484.792065,-24.79999924,32.20000076
23/04/2015,17:46:03,38.5,381,7513.000853,-24.79999924,31.89999962
23/04/2015,17:46:22,38.4,377,7586.518126,-25.29999924,31.60000038
23/04/2015,17:46:28,38.4,376,7610.977997,-24.89999962,31
23/04/2015,17:46:44,38.3,373,7676.171467,-25,34.5
23/04/2015,17:46:52,38.3,371,7708.578735,-25.5,38.79999924
23/04/2015,17:47:08,38.2,367,7782.275758,-25.20000076,42.90000153
23/04/2015,17:47:14,38.2,366,7803.692638,-26.39999962,60.59999847
23/04/2015,17:47:40,38.1,360,7914.085126,-25.79999924,76.59999847
23/04/2015,17:47:48,38,358,7945.475516,-26.10000038,79
23/04/2015,17:48:04,37.9,355,8011.520168,-26.70000076,84
23/04/2015,17:48:10,37.9,354,8030.790488,-27.20000076,95.19999695
23/04/2015,17:48:26,37.8,350,8101.823262,-27.10000038,96.5
23/04/2015,17:48:46,37.7,347,8174.642678,-27.39999962,99.90000153
23/04/2015,17:49:03,37.6,344,8231.115983,-29.20000076,99.90000153
23/04/2015,17:49:09,37.6,342,8257.692751,-29.89999962,99.90000153
23/04/2015,17:49:25,37.5,339,8326.821746,-30.60000038,99.90000153
23/04/2015,17:49:33,37.5,337,8359.57326,-31.10000038,99.90000153
23/04/2015,17:49:58,37.3,333,8457.571829,-31.29999924,99.90000153
23/04/2015,17:50:03,37.3,332,8480.143978,-32.09999847,99.90000153
